;10.15 - 11.50;1;;;;;;;Профессионально-ориентированный иностранный язык;;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;Методы оптимизации;Методы оптимизации;;;;;;Математическое моделирование в задачах информационной безопасности;Математическое моделирование в задачах информационной безопасности;;;;;;;;Инструментальные средства разработки ИС;Инструментальные средства разработки ИС;;
;;;;;;;;;Лабушева Т.М.;;;;;;;;;;;;;;;;Тынченко В.В.;Тынченко В.В.;;;;;;Кириллова С.В.;Кириллова С.В.;;;;;;;;Кустов Д.В.;Кустов Д.В.;;
;;;Бронов С.А.;Бронов С.А.;Бронов С.А.;Бронов С.А.;Бронов С.А.;Бронов С.А.;Бронов С.А.;Бронов С.А.;;;;;;;;;;;Погребников А.К.;Погребников А.К.;;;Кузнецов А.С.;Кузнецов А.С.;Медведева М.И.;Довгун В.П.;Довгун В.П.;Довгун В.П.;Довгун В.П.;Важенина И.Г.;Важенина И.Г.;Чубарова О.В.;Чубарова О.В.;;;;Халтурин Е.А.;Халтурин Е.А.;Чудакин И.А.;Чудакин И.А.;;
;;;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;;;;;;;;;;;пр. занятие;пр. занятие;;;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;лаб. работа;лаб. работа;лекция;лекция;;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;
;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;;;;;;;;;Корпус №17;Корпус №17;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;
;;;1-16;1-16;1-16;1-16;1-16;1-16;1-16;1-16;;;;;;;;;;;4-21;4-21;;;4-11;4-11;4-20;1-15;1-15;1-15;1-15;3-21;3-21;1-17;1-17;;;;4-17;4-17;4-13;4-13;;
;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;синхронно;синхронно;синхронно;синхронно;;
;;2;Теория управления;Теория управления;Теория управления;Теория управления;Теория управления;Теория управления;Теория управления;Теория управления;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;Серверное программирование;Серверное программирование;;;Теория вычислительного обучения;Теория вычислительного обучения;Методы оптимизации;Электроника и схемотехника;Электроника и схемотехника;Электроника и схемотехника;Электроника и схемотехника;Электроника и схемотехника;Электроника и схемотехника;Методы машинного обучения;Методы машинного обучения;;;;Теория алгоритмов;Теория алгоритмов;Мобильные приложения;Мобильные приложения;;
;;;Бронов С.А.;Бронов С.А.;Бронов С.А.;Бронов С.А.;Бронов С.А.;Бронов С.А.;Бронов С.А.;Бронов С.А.;;;;;;;;;;;Погребников А.К.;Погребников А.К.;;;Пересунько Е.О.;Пересунько Е.О.;Медведева М.И.;Довгун В.П.;Довгун В.П.;Довгун В.П.;Довгун В.П.;Важенина И.Г.;Важенина И.Г.;Чубарова О.В.;Чубарова О.В.;;;;Халтурин Е.А.;Халтурин Е.А.;Чудакин И.А.;Чудакин И.А.;;
;;;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;;;;;;;;;;;пр. занятие;пр. занятие;;;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;лекция;лекция;;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;
;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;;;;;;;;;Корпус №17;Корпус №17;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;
;;;1-16;1-16;1-16;1-16;1-16;1-16;1-16;1-16;;;;;;;;;;;4-21;4-21;;;4-23;4-23;4-20;1-15;1-15;1-15;1-15;1-14;1-14;1-17;1-17;;;;4-17;4-17;4-13;4-13;;
;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;синхронно;синхронно;синхронно;синхронно;;
;15.55 - 17.30;1;Теория управления;Теория управления;Профессионально-ориентированный иностранный язык;Профессионально-ориентированный иностранный язык;Системное программное обеспечение;Системное программное обеспечение;Методы и системы принятия решений;Методы и системы принятия решений;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;Теория автоматов, языков и вычислений;Теория автоматов, языков и вычислений;Серверное программирование;Серверное программирование;Теория вычислительного обучения;Теория вычислительного обучения;Уравнения математической физики;Теория функций комплексного переменного;Теория функций комплексного переменного;Теория функций комплексного переменного;Теория функций комплексного переменного;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;Методы машинного обучения;Методы машинного обучения;Элементы и устройства автоматики;Элементы и устройства автоматики;Элементы и устройства автоматики;Мобильные приложения;Мобильные приложения;Методы оптимизации;Методы оптимизации;Теория алгоритмов;Теория алгоритмов
;;;Кривова Д.Д.;Кривова Д.Д.;Романовская А.А.;Шарова А.В.;Тарасов С.А.;Тарасов С.А.;Доррер Г.А.;Доррер Г.А.;;;;;;;;;;;Личаргин Д.В.;Личаргин Д.В.;Погребников А.К.;Погребников А.К.;Михалев А.С.;Михалев А.С.;Рыжков И.И.;Кочеткова Т.О.;Кочеткова Т.О.;Кочеткова Т.О.;Кочеткова Т.О.;Гончаревич Н.А.;Гончаревич Н.А.;Чубарова О.В.;Чубарова О.В.;Авласко П.В.;Авласко П.В.;Авласко П.В.;Чудакин И.А.;Чудакин И.А.;Медведева М.И.;Медведева М.И.;Халтурин Е.А.;Халтурин Е.А.
;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;;;;;;;;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие
;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;;;;;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №15;Корпус №15;Корпус №17;Корпус №17;ЭИОС;ЭИОС;ЭИОС;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17
;;;4-01;4-01;2-01;2-02;4-20;4-20;4-13;4-13;;;;;;;;;;;4-11;4-11;4-21;4-21;1-17;1-17;1-18;5-01;5-01;5-01;5-01;3-13;3-13;4-07;4-07;https://e.sfu-kras.ru/course/view.php?id=1199;https://e.sfu-kras.ru/course/view.php?id=1199;https://e.sfu-kras.ru/course/view.php?id=1199;4-23;4-23;4-10;4-10;4-17;4-17
