Дни;Часы;Неделя;09.03.01 Информатика и вычислительная техника;;;;;;;;;;;;;;09.03.04 Программная инженерия;;;;;;01.03.04 Прикладная математика;10.05.01 Компьютерная безопасность;;10.05.03 Информационная безопасность автоматизированных систем;;10.03.01 Информационная безопасность;;27.03.03 Системный анализ и управление;;27.03.04 Управление в технических системах;;15.03.04 Автоматизация технологических процессов и производств;09.03.03 Прикладная информатика;;;
;;;КИ20-06б                                     (1 подгруппа);КИ20-06б                                     (2 подгруппа);КИ20-07б                                     (1 подгруппа);КИ20-07б                                     (2 подгруппа);КИ20-08б                                     (1 подгруппа);КИ20-08б                                     (2 подгруппа);КИ20-11б                                     (1 подгруппа);КИ20-11б                                     (2 подгруппа);КИ20-12б                                     (1 подгруппа);КИ20-12б                                     (2 подгруппа);КИ20-13б                                     (1 подгруппа);КИ20-13б                                     (2 подгруппа);КИ20-14б                                     (1 подгруппа);КИ20-14б                                     (2 подгруппа);КИ21-16/1б                                     (1 подгруппа);КИ20-16/1б                                     (2 подгруппа);КИ20-16/2б                                     (1 подгруппа);КИ20-16/2б                                     (2 подгруппа);КИ20-17/1б                                     (1 подгруппа);КИ20-17/1б                                     (2 подгруппа);КИ20-18б;КИ20-01                                     (1 подгруппа);КИ20-01                                     (2 подгруппа);КИ20-02                                     (1 подгруппа);КИ20-02                                     (2 подгруппа);КИ20-02/1б                                     (1 подгруппа);КИ20-02/1б                                     (2 подгруппа);КИ20-03б                                     (1 подгруппа);КИ20-03б                                     (2 подгруппа);КИ20-04б                                     (1 подгруппа);КИ20-04б                                     (2 подгруппа);КИ20-05б                                    ;КИ20-20б                                     (1 подгруппа);КИ20-20б                                     (2 подгруппа);КИ20-21б                                     (1 подгруппа);КИ20-21б                                     (2 подгруппа)
;;;;;4-16;4-16;4-19;4-19;;;;;;;;;1-19;1-19;1-19;1-19;1-19;1-19;2-20;1-18;1-18;3-01;3-01;5-12;5-12;5-15;5-15;https://e.sfu-kras.ru/course/view.php?id=182;https://e.sfu-kras.ru/course/view.php?id=182;https://e.sfu-kras.ru/course/view.php?id=182;3-21;3-21;4-15;4-15
;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;асинхронно;асинхронно;асинхронно;синхронно;синхронно;синхронно;синхронно
;15.55 - 17.30;1;Организация процесса проектирования программного обеспечения;Организация процесса проектирования программного обеспечения;Программируемые логические интегральные схемы;Программируемые логические интегральные схемы;Междисциплинарный курсовой проект;Междисциплинарный курсовой проект;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;Разработка интеграционных систем;Разработка интеграционных систем;Разработка интеграционных систем;Разработка интеграционных систем;Модели и методы искусственного интеллекта;Модели и методы искусственного интеллекта;Экономика;;;;;Социология;Социология;Анализ неструктурированных данных;Анализ неструктурированных данных;;;Проектирование цифровых устройств;Интернет предпринимательство;Интернет предпринимательство;;
;;;Васильев В.С.;Васильев В.С.;Сиротинина Н.Ю.;Сиротинина Н.Ю.;Середкин В.Г.;Середкин В.Г.;;;;;;;;;Богданов К.В.;Богданов К.В.;Богданов К.В.;Богданов К.В.;Пенькова Т.Г.;Пенькова Т.Г.;Зябликов Д.В.;;;;;Малимонов И.В.;Малимонов И.В.;Даничев А.А.;Даничев А.А.;;;Дрозд О.В.;Демко А.В.;Демко А.В.;;
;;;пр. занятие;пр. занятие;лаб. работа;лаб. работа;пр. занятие;пр. занятие;;;;;;;;;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;;;;;пр. занятие;пр. занятие;лекция;лекция;;;лекция;пр. занятие;пр. занятие;;
;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;;;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;ЭИОС;Корпус №15;Корпус №15;;
;;;4-16;4-16;4-19;4-19;4-12;4-12;;;;;;;;;1-19;1-19;1-19;1-19;3-21;3-21;2-20;;;;;5-12;5-12;5-15;5-15;;;https://e.sfu-kras.ru/course/view.php?id=1483;4-15;4-15;;
;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;синхронно;синхронно;синхронно;синхронно;;;асинхронно;синхронно;синхронно;;
;;2;Междисциплинарный курсовой проект;Междисциплинарный курсовой проект;Программируемые логические интегральные схемы;Программируемые логические интегральные схемы;Организация процесса проектирования программного обеспечения;Организация процесса проектирования программного обеспечения;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;Разработка интеграционных систем;Разработка интеграционных систем;Разработка интеграционных систем;Разработка интеграционных систем;Модели и методы искусственного интеллекта;Модели и методы искусственного интеллекта;Экономика;Академический английский язык;Академический английский язык;Социология;Социология;Программно-аппаратные средства защиты информации;Программно-аппаратные средства защиты информации;Анализ неструктурированных данных;Анализ неструктурированных данных;Организация и планирование производств;Организация и планирование производств;Организация и планирование производств;Интернет предпринимательство;Интернет предпринимательство;;
;;;Середкин В.Г.;Середкин В.Г.;Сиротинина Н.Ю.;Сиротинина Н.Ю.;Васильев В.С.;Васильев В.С.;;;;;;;;;Богданов К.В.;Богданов К.В.;Богданов К.В.;Богданов К.В.;Пенькова Т.Г.;Пенькова Т.Г.;Зябликов Д.В.;Думлер Н.П.;Думлер Н.П.;Малимонов И.В.;Малимонов И.В.;Демин С.Л.;Демин С.Л.;Даничев А.А.;Даничев А.А.;Солопко И.В.;Солопко И.В.;Солопко И.В.;Демко А.В.;Демко А.В.;;
