;;Группа:;КИ23-10Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
РАСПИСАНИЕ УЧЕБНЫХ ЗАНЯТИЙ;;;;;;;"ФГАОУ ВО ""Сибирский федеральный университет""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Осенний семестр;2023-2024;года;;УТВЕРЖДАЮ __________________________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Институт:;;ИКИТ;;;;;Ректор                             М.В. Румянцев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;5-01;5-01;4-12;;4-01;4-13;;https://e.sfu-kras.ru/course/view.php?id=34285;;;;;;;;;;;;https://e.sfu-kras.ru/course/view.php?id=32801;https://e.sfu-kras.ru/course/view.php?id=32801;;;4-10;4-10;4-02;4-02;1-16;1-16;1-16;1-16;1-16;1-16;4-02;4-02;4-07;4-07;5-02;5-02;1-15;1-15;1-15;1-15;1-15;https://e.sfu-kras.ru/course/view.php?id=32801;https://e.sfu-kras.ru/course/view.php?id=32801;5-11;5-11
;;;синхронно;синхронно;синхронно;;синхронно;синхронно;;синхронно;;;;;;;;;;;;асинхронно;асинхронно;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;асинхронно;асинхронно;синхронно;синхронно
;;2;Основы российской государственности;Основы российской государственности;Введение в профессиональную деятельность;;Основы программирования;Введение в профессиональную деятельность;;Прикладная физическая культура и спорт;;Основы программирования;Основы программирования;Основы программирования;Основы программирования;Основы программирования;Основы программирования;Основы программирования;Основы программирования;Основы программирования;Основы программирования;Основы программирования;Основы программирования;;;Основы программирования;Основы программирования;Информатика;Информатика;Математический анализ;Математический анализ;;Языки программирования;История России;История России;История России;История России;Языки программирования;Языки программирования;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Деловая коммуникация на русском языке;Деловая коммуникация на русском языке;Высшая математика;Высшая математика
;;;Хаит Н.Л.;Хаит Н.Л.;Вакансия;;Верхошенцева С.Л.;Шишкина И.С.;;Дергач Е.А.;;Раскина А.В.;Раскина А.В.;Раскина А.В.;Раскина А.В.;Раскина А.В.;Раскина А.В.;Раскина А.В.;Раскина А.В.;Раскина А.В.;Раскина А.В.;Раскина А.В.;Раскина А.В.;;;Вакансия;Вакансия;Пупков А.Н.;Пупков А.Н.;Федотова И.М.;Федотова И.М.;;Кемельбаева А.Р.;Терскова А.А.;Терскова А.А.;Алексеев О.Г.;Алексеев О.Г.;Бураков С.В.;Бураков С.В.;Кочеткова Т.О.;Кочеткова Т.О.;Карнаухова О.А.;Карнаухова О.А.;Карнаухова О.А.;Карнаухова О.А.;Карнаухова О.А.;Колобаев П.А.;Колобаев П.А.;Кацунова А.С.;Кацунова А.С.
;;;пр. занятие;пр. занятие;лаб. работа;;пр. занятие;лаб. работа;;пр. занятие;;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие
;;;Корпус №17;Корпус №17;Корпус №17;;Корпус №17;Корпус №17;;ЭИОС;;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;Корпус №17;ЭИОС;ЭИОС;Корпус №15;Корпус №15;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17
;;;5-01;5-01;4-12;;4-01;4-13;;https://e.sfu-kras.ru/course/view.php?id=34055;;34-14;34-14;34-14;34-14;34-14;34-14;34-14;34-14;34-14;34-14;34-14;34-14;;;4-10;4-10;4-02;4-02;5-15;5-15;;4-16;https://e.sfu-kras.ru/course/view.php?id=36628;https://e.sfu-kras.ru/course/view.php?id=36628;4-02;4-02;4-07;4-07;5-02;5-02;1-15;1-15;1-15;1-15;1-15;1-18;1-18;5-11;5-11
;;;синхронно;синхронно;синхронно;;синхронно;синхронно;;асинхронно;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;синхронно;асинхронно;асинхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно
;14.10 - 15.45;1;;;;;;Основы программирования;;;;Физическая культура и спорт;Физическая культура и спорт;;;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;;;Основы программирования;Основы программирования;;;История России;История России;;Языки программирования;Математический анализ;Математический анализ;Аналитическая геометрия;Аналитическая геометрия;Языки программирования;Языки программирования;Физическая культура и спорт;Физическая культура и спорт;;;;;;История России;История России
;;;;;;;;Верхошенцева С.Л.;;;;Брюханова Н.А.;Брюханова Н.А.;;;Брюханова Н.А.;Брюханова Н.А.;Брюханова Н.А.;Брюханова Н.А.;Брюханова Н.А.;Брюханова Н.А.;Брюханова Н.А.;Брюханова Н.А.;Брюханова Н.А.;Брюханова Н.А.;;;Вакансия;Вакансия;;;Терскова А.А.;Терскова А.А.;;Кемельбаева А.Р.;Кочеткова Т.О.;Кочеткова Т.О.;Кириллова С.В.;Кириллова С.В.;Бураков С.В.;Бураков С.В.;Вашко В.А.;Вашко В.А.;;;;;;Алексеев О.Г.;Алексеев О.Г.
;;;;;;;;пр. занятие;;;;лекция;лекция;;;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;;;пр. занятие;пр. занятие;;;пр. занятие;пр. занятие;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;;;;;пр. занятие;пр. занятие
;;;;;;;;Корпус №17;;;;ЭИОС;ЭИОС;;;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;;;Корпус №17;Корпус №17;;;ЭИОС;ЭИОС;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;ЭИОС;ЭИОС;;;;;;Корпус №17;Корпус №17
